,song_name,type,artist,lyrics,id
0,nile nile ambar par,romantic,kishore kumar,नीले नीले अम्बर पर चाँद जब आये प्यार बरसाए हमको तरसाए   नीले नीले अम्बर पर चाँद जब आये प्यार बरसाए हमको तरसाए  ऐसा कोई साथी हो ऐसा कोई प्रेमी हो प्यास दिल की बुझा जाए  ऊँचे ऊँचे पर्बत जब चुमते हैं अम्बर को प्यासा-प्यासा अम्बर जब चूमता है सागर को प्यार से कसने को बाहों में बसने को दिल मेरा ललचाये कोई तो आ जाए  ऐसा कोई साथी हो ऐसा कोई प्रेमी हो प्यास दिल की बुझा जाए  ठन्डे-ठन्डे झोंके जब बालों को सहलाएं तपती-तपती किरणें जब गलों को छू जाए साँसों की गर्मी को हांथों की नरमी को मेरा मन तरसाए कोई तो छू जाए  ऐसा कोई साथी हो ऐसा कोई प्रेमी हो प्यास दिल की बुझा जाए  छम छम करता सावन बूंदों के बाण चलाए सतरंगी बरसातों में जब तनमन भीगा जाए प्यार में नहाने को डूब ही जाने को दिल मेरा तडपाये ख़्वाब जगा जाए  ऐसा कोई साथी हो ऐसा कोई प्रेमी हो प्यास दिल की बुझा जाए  नीले नीले अम्बर पर चाँद जब आये प्यार बरसाए हमको तरसाए,1
1,akkad bakkad,party,badshah,"अक्कड़ बक्कड़ बॉम्बे बो 80, 90 पुरे 100 रात के बज गए पौने दो जो होता है होने दो अक्कड़ बक्कड़ बॉम्बे बो 80, 90 पुरे 100 रात के बज गए पौने दो जो होता है होने दो अक्कड़ बक्कड़ बॉम्बे बो 80, 90 पुरे 100 रात के बज गए पौने दो जो होता है होने दो अक्कड़ बक्कड़ बॉम्बे बो 80, 90 पुरे 100 रात के बज गए पौने दो जो होता है होने दो  अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़..  कुड़ी तू इक लोनली नाचे हौली हौली पिके बस पेग दो तू ऐसे क्यों है डोली कुडियां दा गैंग ते मुंडियां दी टोली काफी कुछ होगा बट स्लो्ली स्लो्ली     नाच नाच के थक गया हूँ दारु पीके अक् गया हूँ मुझको निन्नी आ रही है साथ में अपने सोने दो  अक्कड़ बक्कड़ बॉम्बे बो 80, 90 पुरे 100 रात के बज गए पौने दो जो होता है होने दो अक्कड़ बक्कड़ बॉम्बे बो 80, 90 पुरे 100 रात के बज गए पौने दो जो होता है होने दो   अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़..  ये ना सोचेयो तू की, हूँ मैं तेरे आंटी बट तेरी जुबांन चलती है जैसे केंची क्लब में आई हूँ बस पार्टी करने तू क्यों फालतू में हुआ फिरता है सेंटी  चल यहाँ से टॉप ले तू रास्ता अपना नाप ले तू मीटर मेरा हिल गया तो कान के निचे दूँगी दो  अक्कड़ बक्कड़ बॉम्बे बो 80, 90 पुरे 100 रात के बज गए पौने दो जो होता है होने दो अक्कड़ बक्कड़ बॉम्बे बो 80, 90 पुरे 100 रात के बज गए पौने दो जो होता है होने दो अक्कड़ बक्कड़ बॉम्बे बो 80, 90 पुरे 100 रात के बज गए पौने दो जो होता है होने दो अक्कड़ बक्कड़ बॉम्बे बो 80, 90 पुरे 100 रात के बज गए पौने दो जो होता है होने दो  अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़.. अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़..  अक्कड़ बक्कड़ बॉम्बे बो 80, 90 पुरे 100 रात के बज गए पौने दो जो होता है होने दो..",2
2,aakhiya,sad,popon,ओ थक गेया अँखियाँ ओ जग्ग दियाँ अखियाँ माहियाँ ना आया लभदियाँ अँखियाँहाये प्यार दियाँ क़समाँ खा के छड़ गया तू इश्क़ भुला के दस्स जा तू मेरा की क़ुसूर वे तू अखियाँ नू कहने दे तू अखियाँ नू बहने दे जो दर्द सतावें तेनू ना दिल विच रहने दे  तू ग़ल्ल कन्नु समझावे प्यार किन्ना तड़पावे जब तक ना आवे माही तू अखियाँ नू रोने दे  ल ला ला ला..  तेरे वे तेरे इंतेज़ार में दिल हो गया फ़क़ीरा प्यार में तुझको भुला ही ना जा सके मिट जावाँ ना मैं सब कुछ हार के  माही बिना दिल डूबदा जावे माही बिना एंनु चीन ना आवे विख जावे मेनू सोहना यार वे  तू अँखियाँ नू कहने दे तू अखियाँ नू बहने दे जो दर्द सतावे तेनू ना दिल विच रहने दे  तू ग़ल्ल कन्नु समझावे प्यार किन्ना तड़पावे जब तक ना आवे माही तू अखियाँ नू रोने दे  ओ थक गिया अँखियाँ ओ जग दियाँ अँखियाँ माहिया ना आया लभदियाँ अँखियाँ,3
3,ang se ang lagana,romantic,alka yagnik," अरे जो जी में आए.. अरे जो जी में आए.. तुम आज कर लो चाहो जिसे इन बाँहो में भर लो अंग से अंग लगाना सजन हमें ऐसे रंग लगाना अंग से अंग लगाना सजन हमें ऐसे रंग लगाना गालों से ये गाल लगा के नैनों से ये नैन मिला के होली आज मनाना सजन हमें ऐसे रंग लगाना  अंग से अंग लगाना सजन हमें ऐसे रंग लगाना अंग से अंग लगाना सजन हमें ऐसे रंग लगाना     ऊपर ऊपर रंग लगय्यो, ना करिओ कुछ नीचे मोसे कुछ ना बोल, खड़ी रे चुप से अँखियाँ मीचे  हो बच के पड़ोसन जाने ना पाए जाये तो वापस आने ना पाए  जुलमी ने ऐसे बाजू मरोड़ा कजरा ना गजरा, कुछ भी ना छोड़ा  रपट लिखा दो.. रपट लिखा दो थाने में हम भर देंगे जुर्माना  अंग से अंग लगाना सजन हमें ऐसे रंग लगाना अंग से अंग लगाना सजन हमें ऐसे रंग लगाना  हो रंग बरसे भीगे चुनरवाली रंग बरसे हो रंग बरसे भीगे चुनरवाली रंग बरसे हो रंग बरसे भीगे चुनरवाली रंग बरसे  अंग से, अंग से.. अंग से अंग लगाना सजन हमें ऐसे रंग लगाना अंग से अंग लगाना सजन हमें ऐसे रंग लगाना  भीगे भीगे तेरे तन से, जैसे शोले लपक रहे हैं अपना रस्ता देख मुसाफिर, तेरे नैनों भटक रहे हैं मैं भूला रास्ता, रस्ते पे आजा मैं थाम लूं बैय्याँ, मत छेड़ो सैय्याँ तुम दिल मत तोड़ो, तुम आँचल छोड़ो तुम काहे रूठी हाँ, मेरी चूड़ी टूटी दिल मेरा टूटा, चल हट जा झूठा तू नाच मैं गाऊं, तू बैठ मैं जाऊं मुश्किल है जाना, तू है दीवाना मुझे अंग लगा ले, बस रंग लगा ले नीला के पीला, नीला न पीला क्या लाल गुलाबी, तु बोल ओ भाभी  चुटकी भर सिन्दूर मंगाकर, इसकी मांग सजाना हे.. अंग से, अंग लगाना सजन हमें ऐसे रंग लगाना अंग से अंग लगाना सजन हमें ऐसे रंग लगाना अंग से अंग लगाना सजन हमें ऐसे रंग लगाना ",4
4,agar zindagi ho,romantic,asha bhosale,अगर ज़िन्दगी हो तो तेरे संग हो अगर ज़िन्दगी हो तो तेरे संग हो अगर मौत हो तो वो हो तुझसे पहले अगर मौत हो तो वो हो तुझसे पहले अगर ज़िन्दगी हो तो तेरे संग हो अगर ज़िन्दगी हो तो तेरे संग हो अगर मौत हो तो वो हो तुझसे पहले अगर मौत हो तो वो हो तुझसे पहले बलमा.. बलमा.. बलमा.. बलमा.. अब दिल लगता कही ना तेरे बिना अब दिल लगता कही ना तेरे बिना मुश्किल होगा जीना तेरे बिना आ मिलके वादा करले जब तक होगा दम में दम साथ नहीं छोड़ेंगे चाहे खुशियाँ हो या गम बलमा.. बलमा.. बलमा.. बलमा..  अगर ज़िन्दगी हो तो तेरे संग हो अगर ज़िन्दगी हो तो तेरे संग हो   मुझको मिली है सांसे तेरे लिए मुझको मिली है सांसे तेरे लिए ख्वाब सजाये आँखें तेरे लिए अब ना कभी रूठे ये तेरे वादों का मौसम हिन्दीट्रैक्स मेरी यादों में महके तेरे यादों का मौसम बलमा.. बलमा.. बलमा.. बलमा..  अगर ज़िन्दगी हो तो तेरे संग हो अगर ज़िन्दगी हो तो तेरे संग हो  जब तक ये दुनियां ये आलम रहे जब तक ये दुनियां ये आलम रहे प्यार तेरा इस दिल में बालम रहे मेरे प्यासे दिल पे ना कोई दूजा रंग चढ़े कम ना हो हर लम्हा तेरी चाहत और बढ़े बलमा.. बलमा.. बलमा.. बलमा..  अगर ज़िन्दगी हो तो तेरे संग हो अगर ज़िन्दगी हो तो तेरे संग हो अगर मौत हो तो वो हो तुझसे पहले अगर मौत हो तो वो हो तुझसे पहले बलमा.. बलमा.. बलमा.. बलमा..,5
5,agar thum mil mil jao,romantic,sreya ghoshal,अगर तुम मिल जाओ ज़माना छोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम तुम्हे पा कर ज़माने भर से रिश्ता तोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम बिना तेरे कोई दिलकश नज़ारा हम न देखेंगे बिना तेरे कोई दिलकश नज़ारा हम न देखेंगे तुम्हे न हो पसंद उसको दोबारा हम न देखेंगे तेरी सूरत न हो जिस में तेरी सूरत न हो जिस में वह शीशा तोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम तेरे दिल में रहेंगे तुझको अपना घर बना लेंगे तेरे दिल में रहेंगे तुझको अपना घर बना लेंगे तेरे ख़्वाबों को बहेनो की तरह खुद पर सजा लेंगे कसम तेरी कसम कसम तेरी कसम तक़दीर का रोग मोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम तुम्हे हम अपने जिस्म-ो-जान में कुछ ऐसे बसा लेंगे तुम्हे हम अपने जिस्म-ो-जान में कुछ ऐसे बसा लेंगे तेरी खुशबू अपने जिस्म की खुश्बू बना लेंगे खुदा से भी न जो टूटे खुदा से भी न जो टूटे वह रिश्ता जोड़ लेंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम तुम्हे पा कर ज़माने भर से रिश्ता तोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम अगर तुम मिल जाओ ज़माना छोड़ देंगे हम.,7
6,agar thum na hota,sad,arijit singh,पल भर ठहर जाओ दिल ये संभल जाए कैसे तुम्हें रोका करूँ मेरी तरफ आता हर ग़म फिसल जाए आँखों में तुम को भरूं बिन बोले बातें तुमसे करूँ गर तुम साथ हो अगर तुम साथ होतेरी नज़रों में है तेरे सपने तेरे सपनों में है नाराज़ी मुझे लगता है के बातें दिल की होती लफ़्ज़ों की धोखेबाज़ी तुम साथ हो या ना हो क्या फर्क है बेदर्द थी ज़िन्दगी बेदर्द है गर तुम साथ हो अगर तुम साथ हो  पलकें झपकते दी दिन ये निकल जाए बैठी बैठी भागी फिरूँ मेरी तरफ आता हर ग़म फिसल जाए आँखों एमीन तुम को भरूं बिन बोले बातें तुमसे करूँ गर तुम साथ हो अगर तुम साथ हो  तेरी नज़रों में है तेरे सपने तेरे सपनों में है नाराज़ी मुझे लगता है के बातें दिल की होती लफ़्ज़ों की धोखेबाज़ी तुम साथ हो या ना हो क्या फर्क है बेदर्द थी ज़िन्दगी बेदर्द है  अगर तुम साथ हो दिल ये संभल जाए अगर तुम साथ हो  हर ग़म फिसल जाए अगर तुम साथ हो  दिल ये निकल जाए अगर तुम साथ हो  हर ग़म फिसल जाए,8
7,adayeng bhi han,romantic,anurdha powdwal,ये मुलाकात एक बहाना है ये मुलाकात एक बहाना है प्यार का सिलसिला पुराना है ये मुलाकात एक बहाना है धड़कनें धड़कनों में खो जाएँ धड़कनें धड़कनों में खो जाएँ दिल को दिल के करीब लाना है दिल को दिल के करीब लाना है  प्यार का सिलसिला पुराना है ये मुलाकात एक बहाना है  मैं हूँ अपने सनम की बाहों में मैं हूँ अपने सनम की बाहों में  मेरे कदमों तले ज़माना है मेरे कदमों तले ज़माना है  प्यार का सिलसिला पुराना है ये मुलाकात एक बहाना है  ख़्वाब तो काँच से भी नाज़ुक हैं ख़्वाब तो काँच से भी नाज़ुक हैं टूटने से इन्हें बचाना है टूटने से इन्हें बचाना है  प्यार का सिलसिला पुराना है ये मुलाकात एक बहाना है  मन मेरा प्यार का शिवाला है मन मेरा प्यार का शिवाला है आपको देवता बनाना है आपको देवता बनाना है  प्यार का सिलसिला पुराना है ये मुलाकात एक बहाना है,10
8,ab k sajan,romantic,lata mangeshkar,"भोली सी सूरत आँखों में मस्ती आय हाय अरे भोली सी सूरत आँखों में मस्ती दूर खड़ी शर्माए, आय हाय एक झलक दिखलाये कभी कभी आँचल में छुप जाये, आय हाय मेरी नज़र से तुम देखो तो यार नज़र वो आये भोली सी सूरत आँखों में मस्ती दूर खड़ी शर्माए, आय हाय एक झलक दिखलाये कभी कभी आँचल में छुप जाये, आय हाय मेरी नज़र से तुम देखो तो यार नज़र वो आये भोली सी सूरत, आँखों में मस्ती आय हाय  हम्म.. ला ला.. आ ला ला.. आ ला ला..  हम्म.. लड़की नहीं है, वो जादू है और कहा क्या जाये रात को मेरे ख्वाब में आई वो जुल्फें बिखराए आँख खुली तो दिल चाहा फिर नींद मुझे आ जाये बिन देखे ये हाल हुआ देखूं तो क्या हो जाए भोली सी सूरत आँखों में मस्ती दूर खड़ी शर्माए, आय हाय  एक झलक दिखलाये कभी कभी आँचल में छुप जाये, आय हाय मेरी नज़र से तुम देखो तो यार नज़र वो आये भोली सी सूरत, आँखों में मस्ती आय हाय  ला ला ला.. ला ला ला.. ला ला ओहो आ हा.. आ ला ला..  हम्म.. सावन का पहला बादल उसका काजल बन जाए मौज उठे सागर में जैसे ऐसे कदम उठाये रब ने जाने किस मिट्टी से उसके अंग बनाये छम से काश कहीं से मेरे सामने वो आ जाए भोली सी सूरत आँखों में मस्ती दूर खड़ी शर्माए, आय हाय एक झलक दिखलाये कभी कभी आँचल में छुप जाये, आय हाय मेरी नज़र से तुम देखो तो यार नज़र वो आये भोली सी सूरत आँखों में मस्ती दूर खड़ी शर्माए, आय हाय आय हाय  ",13
9,ab na phir s,sad,yaseer desain,अब ना दिल को किसी की आदत हो अब ना दिल को किसी की आदत हो अब ना फिर से कभी मोहब्बत होअब ना दिल को किसी की आदत हो अब ना फिर से कभी मोहब्बत हो इतनी भी ख़्वाहिश ना रही किसी से चाहत हो  तेरी मुझको ना अब ज़रूरत हो तेरी मुझको ना अब ज़रूरत हो अब ना फिर से कभी मोहब्बत हो  दर्द के साये में मिलती अब राहत है तेरी तमन्ना नहीं तुझसे जुदा होके सीखा अब जीना है एक तू ज़रूरी नहीं हिंदी ट्रैक्स डॉट इन इतनी भी ख़्वाहिश ना रही किसी की हसरत हो  दिल पे तेरी ना अब हुकूमत हो दिल पे तेरी ना अब हुकूमत हो अब ना फिर से कभी मोहब्बत हो  अब ना दिल को किसी की आदत हो अब ना फिर से कभी मोहब्बत हो,14
