,index,song_name,artist
0,1, नीले नीले अम्बर पर,किशोर कुमार
1,2,अक्कड़ बक्कड़,बादशाह
2,3,अखियाँ,पोपोन
3,4,अंग से अंग लगाना,"अलका याग्निक, बिनोद राठौड़, सुदेश भोसले"
4,5,अगर ज़िन्दगी हो,आशा भोसले
5,7,अगर तुम मिल जाओ,श्रेया घोषाल
6,8,अगर तुम साथ हो,अरिजीत सिंह
7,10,अदायें भी हैं,"अनुराधा पौडवाल, कुमार सानू"
8,11,अपना टाइम आएगा,रणवीर सिंह
9,12,अफ़गान जलेबी ,"असरार (सैयद असरार शाह)"
10,13,अब के सजन,लता मंगेशकर
11,14,अब ना फिर से,यसीर देसाई
12,16,अभी तो पार्टी ,"बादशाह, आस्था गिल"
13,17,अरे हो गए हम आपके,"आशा भोसले, मोहम्मद रफ़ी"
14,20,असल में,दर्शन रावल
15,21,आ जाओ ना,"अरिजीत सिंह ,शाश्वत सचदेव"
16,22,आ जाना,अलका याग्निक
17,23,आ भी जा मेरी दुनिया में ,तलात महमूद
18,24,आ भी जा सनम,आतिफ़ असलम
19,27,आईना,"अरको, तुलसी कुमार, नेहा कक्कर"
20,28,आओ कभी हवेली पे,"बादशाह, निकिता गांधी, सचिन-जिगर"
21,30,आओ मिलो चलें,शान
22,32,आंख मेरे यार की दुखे,पंकज उदास
23,33,आँखों के आगे पीछे,कविता कृष्णामूर्ति
24,34,आँखों के सागर,शफकत अमानत अली
25,35,आंखों में तेरी,के.के.
26,37,आज की पार्टी,"मीका सिंह"
27,39,आज फिर तुमपे,"अरिजीत सिंह, समीरा कोप्पिकर"
28,40,आज रपट जाए,"आशा भोसले, किशोर कुमार"
29,41,आज सुबह जब मैं जगा,"आशा भोसले, मोहम्मद अज़ीज़"
30,43,आजा आजा मैं हूँ प्यार तेरा,"मो.रफ़ी, आशा भोंसले"
31,44,आजा रे,"लता मंगेशकर , मुकेश"
32,46,आंटी जी ,ऐश किंग
33,47,आती क्या खंडालाी,"अलका याग्निक, आमिर खान"
34,49,आदत से मजबूर,"बेनी दयाल,रणवीर सिंह"
35,61,आहिस्ता आहिस्ता,फरहान अख्तर
36,63,इक दिन बिक जाएगा,मुकेश
37,64,इक मलाल,शैल हडा
38,65,इक याद पुरानी,तुलसी कुमार
39,67,इंतज़ार,"अरिजीत सिंह , असीस कौर"
40,69,इतनी सी बात है,"अरिजीत सिंह , अंतरा मित्रा"
41,70,इश्क़ दा मारा,जुबिन नौटियाल 
42,71,इश्क बिना,ए.आर. रहमान
43,72,इश्क़ मस्ताना,शंकर महादेवन
44,75,इश्क़ेदारियां,"अंकित तिवारी"
45,77,ईलाही,सोनू निगम
46,78,उड़े दिल बेफिक्रे,"बेनी दयाल, सोफी चौधरी"
47,79,उफ़ ,"बेनी दयाल"
48,80,ऊँची है बिल्डिंग,"अनु मलिक, नेहा कक्कड़"
49,81,ए खुदा,"मिथुन, क्षितिज तारे, सलीम भट्ट"
50,82,ए दिल ना मुझसे छुपा,"लता मंगेशकर, मुकेश"
51,83,एक गलती,शिवाय व्यास
52,85,एक ज़िन्दगी,"तानिस्का संघवी, सचिन जिगर"
53,86,एक तमन्ना जीवन की,"कुमार सानु, आशा भोसले"
54,87,एक था गुल,"मोहम्मद रफ़ी , नंदा"
55,88,एक दिन आप यूँ,"अलका याग्निक, कुमार सानू"
56,89,एक ना एक दिन,मोहम्मद रफ़ी
57,90,एक प्यार का नगमा है,"लता मंगेशकर,मुकेश "
58,92,एक हसीना थी,"आशा भोसले , किशोर कुमार"
59,94,ऐ मेरे हमसफ़र,"अलका याग्निक, उदित नारायण"
60,95,ऐथे आ,विशाल ददलानी
61,101,ओ माहिया,"अलका याग्निक, शान"
62,107,ओ साकी साकी,"नेहा कक्कर, तुलसी कुमार"
63,108,ओ साथी,आतिफ असलम
64,114,ओढनी ओढ़ के नाचूं,"अलका याग्निक ,उदित नारायण"
65,115,ओये ओये,अरमान मलिक
66,119,कजरा रे,"अलीशा चिनाय, जावेद अली, शंकर महादेवन"
67,122,कभी यादों में,"अरिजीत सिंह , पलक मुच्‍छल"
68,124,कर गयी चुल,"बादशाह, फाजिलपुरिया, सुकृति काकर , नेहा कक्कर"
69,128,कल हम जिससे,"अनुराधा पौडवाल , कुमार सानू"
70,140,काला चश्मा ,"अमर अर्शी, बादशाह, नेहा कक्कर"
71,143,कितनी बातें,"साधना सरगम,हरिहरन"
72,144,किताबे बहुत सी पढ़ी होंगी तुमने,"आशा भोसले, अभिजीत"
73,145,किन्ना सोणा,जुबिन नौटियाला
74,147,कुछ तो हुआ है,"अलका याग्निक,शान"
75,150,कुड़ी नु नचने दे,"विशाल ददलानी,सचिन-जिगर"
76,152,केंदी मेनू,"यश नार्वेकर, सुकृति काकर, इक्का"
77,153,कैसी ये जुदाई है,फलक शब्बीर
78,156,कैसे हुआ,विशाला मिश्रा
79,160,कोका,"जसबीर जस्सी, बादशाह, ध्वनी भानुशाली"
80,161,कोका कोला तू ,"टोनी कक्कर"
81,162,कोयल सी तेरी बोली,"अनुराधा पौडवाल, उदित नारायण"
82,163,कोयी माने या ना माने,"किशोरे कुमार, आशा भोसले"
83,165,कोरे कोरे सपने,"अनुराधा पौडवाल ,कुमार सानू"
84,171,क्या राज़ है ,"जुबीन गर्ग, श्रेया घोषाल"
85,175,खामोशियाँ ,अरिजीत सिंह 
86,176,खीच मेरी फोटो,"नीती मोहन, अकासा सिंह और दर्शन रावल"
87,180,खो गये हम कहाँ,प्रतीक कुहाड़
88,182,गर्मी,"बादशाह, नेहा कक्कर"
89,183,गलती से मिस्टेक,"अरिजीत सिंह ,अमित मिश्रा"
90,184,गल्लां गुड़ियाँ,"सुखविंदर सिंह, यशिता शर्मा, मनीष टीपू, फरहान अख्तर, शंकर महादेवन"
91,189,गुलाबो,"विशाल ददलानी, अनुशा मणि"
92,190,गेंदा फूल,"बादशाह, पायल देव"
93,192,गो पागल,"रफ़्तार,मंज मुसिक"
94,197,घुंघरू,"अरिजीत सिंह, शिल्पा राव"
95,199,चंदा है तू,"लता मंगेशकर,रफी"
96,203,चलती है क्या नौ से बारह,नेहा कक्कड़
97,207,चलो चले रे साजन धीरे धीरे,"हेमंत कुमार, लता मंगेशकर"
98,213,चार बोतल वोडका,यो यो हनी सिंह
99,217,चिटीयां कलाइयां,"मीत ब्रदर्स, अंजान, कनिका कपूर"
100,218,चीज़ बड़ी,"उदित नारायण, नेहा कक्कर"
101,225,छम्मक छल्लो,एकॉन और हमसिका अय्यर
102,228,छूलें आसमान,सलीम मर्चेंट
103,229,छैंया छैंया,सपना अवस्थी सिंह
104,230,छोटे छोटे तमाशे,"शान"
105,231,छोटे छोटे पेग,"यो यो हनी सिंह, नेहा कक्कर, नवराज हंस"
106,233,जग सुना सुना जग सुना सुना ,राहत फतेह अली खान
107,240,जब दिन हसीन दिल हो जवान,"मोहम्मद रफ़ी, आशा भोसले"
108,241,जब मेहंदी लग लग जावे,"सोनू निगम , श्रेया घोषाल"
109,243,जबरा फैन,नक्श अज़ीज़
110,244,जबसे तुमको देखा,"अन्तर चोधरी, आशा भोसले, किशोरे कुमार, उषा रागे"
111,251,जहाँ भी याद तेरी,"सचिन गुप्ता, दर्शन रावल"
112,252,जा जा रे जा सजना,"आशा भोसले, गीता दत्त"
113,253,जाओ जाओ जी,"आशा भोसले, महेंद्र कपूर"
114,261,ज़िंग ज़िंग ज़िंगाट,अजय-अतुल
115,262,जिगर दा टुकड़ा,"सलीम मर्चेंट, श्रद्धा पंडित"
116,265,ज़िन्दगी ,"शफाकत अली"
117,273,ज़िन्दगी मेरा गाना ,"बप्पी लाहिड़ी, विजय बेनेडिक्ट"
118,275,जिये तो जिये कैसे,"कुमार सानू -,अनुराधा पौडवाल"
119,276,जिला हिलेला,"राजा हसन, देव नेगी"
120,278,जीता था जिसके लिएजीता था जिसके लिए,कुमार सानू
121,283,जीने भी दे,यासर देसाई
122,288,जुम्मे की रात ,"मीका सिंह, पलक मुछाल"
123,290,जॉनी जॉनी ,"जिगर, प्रिया पांचाल और महादेव कृष्णन
"
124,294,टिप टिप,"बादशाह, जोनिता गाँधी"
125,297,डांस पे चांस,"लभ जंजुआ, सुनिधि चौहान"
126,298,डांस बसंती,"विशाल ददलानी, अनुष्का मनचंदा"
127,299,डिंग-डंग,"अमित मिश्रा, अंतरा मित्रा"
128,300,डिस्को डिस्को,"बेनी दयाल, शर्ली सेतिया"
129,303,ड्रामा क्वीन,"विशाल ददलानी और श्रेया घोषाल"
130,309,तम्मा तम्मा,"बादशाह, बप्पी लाहिड़ी, अनुराधा पौडवाल, अमीन सयानी"
131,311,तारे गिन गिन ,सुखबीर
132,312,तिनका तिनका,अलीशा चिनाय
133,316,तुझे देखा तो,"लता मंगेशकर,कुमार सानू"
134,317,तुझे याद ना मेरी आई ,"उदित नारायण, अलका याग्निक, मनप्रीत अख्तर"
135,334,तुमसा कोई प्याराी,"अलका याग्निक ,कुमार सानू"
136,338,तुम्हारी पलकों की चिलमनो में,"लता मंगेशकर, नितिन मुकेश"
137,339,तुम्हीं हो बंधु सखा तुम्हीं,"कविता सेठ,  नीरज श्रीधर"
138,347,तू जुनूनियत,"श्रेय सिंघल, अक्रिति ककर"
139,350,तू जो मिली,यासीर देसाई 
140,351,तू ना आया,श्यामोली संघी
141,352,तू प्यार का सागर है,मन्ना डे
142,353,तू प्यार है किसी और का,"कुमार सानू, अनुराधा पौडवाल"
143,357,तू याद आया,अदनान सामी
144,361,तू ही ना जाने ,"सोनू निगम , प्रकृती काकर"
145,362,तू ही यार मेरा,"अरिजीत सिंह, नेहा कक्कर"
146,366,तूने मारी एंट्रियां,"केके, बप्पी लाहिड़ी, विशाल ददलानी और नीती मोहन"
147,371,तेरा बन जाऊँगा,"अखिल सचदेवा, तुलसी कुमार"
148,380,तेरी फ़रियाद,जगजीत सिंह
149,383,तेरे जैसा,"तुलसी कुमार, सचेत टनड़न"
150,388,तेरे बिना ज़िन्दगी से,"किशोर कुमार, लता मंगेशकर"
151,401,दरखास्त,"अरिजीत सिंह ,  सुनिधि चौहान "
152,403,दर्द-ए-डिस्को,"सुखविंदर सिंह, मैरिएन, निशा, कैरलिसा"
153,407,दारू विच प्यार,ताज़
154,410,दिल कहता है,"कुमार सानू, अल्का याग्निक"
155,416,दिल चोरी,"यो यो हनी सिंह, सिमर कौर, इशर्स"
156,419,दिल तू ही बता,"अलीशा चिनाय, ज़ुबेन गर्ग"
157,421,दिल तोड़ेया,दिलजीत दोसांझ
158,424,दिल दे दिया है,आनंद राज
159,428,दिल मेरा चुराया क्यूँ,"कुमार सानू, अनु मलिक"
160,438,दीया और बाती हम,कैलाश खेर
161,441,दुनिया,"अखिल, ध्वनी भानुशाली"
162,443,देख लेना,"अरिजीत सिंह , तुलसी कुमार"
163,445,देखो ना,"सोनू निगम, सुनिधि चौहान"
164,449,दो पल,"सोनू निगम , लता मंगेशकर"
165,450,दो पेग मार,"नेहा कक्कर"
166,454,धतिंग नाच,"नक्श अज़ीज़, नेहा कक्कर"
167,458,धूम मचाले ,सुनिधि चौहान
168,460,नचदे ने ,"जलसेन रॉयल, हर्षदीप कौर और सिद्धार्थ महादेवन"
169,464,ना ना करते प्यार,"मोहम्मद रफ़ी , सुमन"
170,465,नाच मेरी जान ,"नक्श अज़ीज़, कमाल खान, देव नेगी, तुषार जोशी"
171,466,नाचंगे सारी रात,"नीरज श्रीधर, तुलसी कुमार, मीत ब्रदर्स"
172,468,नील समंदर ,"बेनी दयाल , प्रकृति ककर"
173,469,नैन,"बादशाह , आस्था गिल"
174,480,पटोला,"गुरु रंधावा"
175,481,पत्थर के सनम,"लता मंगेशकर, मुहम्मद रफ़ी"
176,486,परवरदिगारा,रितुराज मोहंती
177,502,पार्टी अल नाईट,"यो यो हनी सिंह"
178,503,पार्टी ओंन माय माइंड,"यो यो हनी सिंह, शेफाली अल्वारेस, के. के"
179,504,पिया आये ना,"के.के. , तुसी कुमार"
180,505,पिया तू अब तो आजा,"आशा भोंसले, आर.डी.बर्मन"
181,507,पिया मोरे,"मीका सिंह, नीती मोहन"
182,514,प्यार किया तो निभाना,"अनुराधा पौडवाल , उदित नारायण"
183,523,प्रेमिका,"बेनी दयाल, कनिका कपूर"
184,524,प्रॉपर पटोला,"दिलजीत दोसांझ, बादशाह, आस्था गिल"
185,527,फिर भी तुमको चाहूंगी,श्रद्धा कपूर
186,529,फिर मोहब्बत करने चला है तू,"अरिजीत सिंह ,  सलीम भट्टा "
187,530,फूल गुलाब का,अनुराधा पौडवाल
188,533,बन्नो तेरा,"बृजेश शांडिल्य, स्वाति शर्मा"
189,534,बम डिग्गी ,"जैक नाइट, जैस्मीन वालिया"
190,536,बरसात में,"जीत गांगुली"
191,549,बीच बीच में,"अरिजीत सिंह ,शाल्‍मली खोलगडे , शेफाली अलवेरेस "
192,557,बेबी को बेस पसंद है,"विशाल ददलानी, शाल्मली खोलगड़े, इशिता, बादशाह"
193,558,बेशर्मी कि हाईट,"बेनी दयाल, शाल्मली खोलगड़े"
194,560,बैंग बैंग,"बेनी दयाल और नीती मोहन"
195,567,बोहत तेज़,"फोटी सेवन, बादशाह"
196,568,भरे बाज़ार,"विशाल ददलानी, पायल देव, बादशाह, बी प्राक"
197,572,भुला देना,मुस्तफा ज़ाहिद
198,575,मत जा रे,अंकित तिवारी
199,580,मलंग,वेद शर्म
200,586,मिले हो तुम हमको,"नेहा कक्कर, टोनी कक्कर"
201,594,मेरा इंतकाम देखेगी,कृष्णा बेउरा
202,595,मेरा जहाँ,"अदनान सामी, औरिएइ कोर्डो, अनन्य वाडेकर"
203,606,मेरे ख़ुदा,शिराज उप्पल
204,608,मेरे नाम तू,अभय जोधपुरकर
205,614,"मै चली मै चली, देखो प्यार की गली","लता मंगेशकर, आशा भोसले"
206,618,मैं तेरा बॉयफ्रेंड,"अरिजीत सिंह , नेहा कक्कर"
207,622,"मैं नहीं दू, किसी को ना दूं","आशा भोसले, बसवालिंगैः हिरेमठ"
208,624,मैं यहाँ तू वहाँ,"अलका याग्निक, अमिताभ बच्चन"
209,631,मैडमजी गो इजी,"बेनी दयाल,डेविड क्लाइटन"
210,634,मोह मोह के धागे,"पोपोन, मोनाली ठाकुर"
211,637,यह रात और यह दुरी,"एस पी बालासुब्रह्मन्यम, आशा भोसले"
212,641,यूँ ही चला चल राही,उदित
213,642,ये आशिक़ी,"मोहित चौहान, नीती मोहन"
214,646,ये जवानी तेरी,"नक्श अजीज, जोनिता गांधी"
215,649,ये दूरियाँ ,मोहित चौहान
216,667,राधा नाचेगी,"रितु पाठक, शबाब साबरी, दानिश साबरी"
217,669,राम चाहे लीला,भूमि त्रिवेदी
218,672,रुला दिया,"अंकित तिवारी, ध्वनी भानुशाली"
219,673,रूठ के हम से ,जतिन पंडित
220,676,रैना,श्री डी
221,677,रॉक दा पार्टी,"बॉम्बे रॉकर्स (नवतेज सिंह रेहल, थॉमस सरडॉर्फ, जानूस बार्नविट्ज़)"
222,685,लंदन ठुमकदा,"लाभ जंजुआ, सोनू कक्कर, नेहा कक्कर"
223,689,लम्बी जुदाई,रेशमा
224,690,लाइट करदो बंद,"बादशाह,आस्था गिल"
225,694,लुंगी डांस,"यो यो हनी सिंह
"
226,695,ले चला,"जुबिन नौटियाल"
227,696,लेट्स नाचो ,"बादशाह, बेनी दयाल
"
228,704,वहां कौन है तेरा,एस.डी.बर्मन
229,706,वास्ते जान भी दूँ,धावनी भानुशाली
230,707,वे माहि,"अरिजीत सिंह, असीस कौर"
231,708,"वो चाँद, वो चाँद नहीं है","हेमंत कुमार, आशा भोसले"
232,711,शनिवार राति,"अरिजीत सिंह , शाल्‍मली खोलगडे"
